Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Country,Region,Crop,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,pH - Acidic,pH - Neutral,pH - Alkaline, 
"Narayanpur, Chhattisgarh","2 found, use single geocode.","Narayanpur, Chhattisgarh 494661, India",19.7195568,81.2471973,"locality, political",APPROXIMATE,India,Chhattisgarh,"Millets, Maize, Tubers",0.17%,9.54%,90.30%,0.64%,62.78%,36.58%,5.91%,91.23%,2.86%,10.71%,89.22%,0.07%,
"Raigarh, Chhattisgarh",Ok,"Raigarh, Chhattisgarh 496001, India",21.8974003,83.3949632,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Tuber crops",0.02%,33.58%,66.40%,2.49%,35.62%,61.88%,5.47%,88.97%,5.55%,15.04%,84.87%,0.09%,
"Raipur, Chhattisgarh",Ok,"Raipur, Chhattisgarh, India",21.2513844,81.6296413,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Wheat, Vegetables",0.07%,10.28%,89.65%,10.88%,57.17%,31.95%,15.12%,69.95%,14.92%,0.79%,98.98%,0.23%,
"Rajnandgaon, Chhattisgarh",Ok,"Rajnandgaon, Chhattisgarh 491441, India",21.0976046,81.0337066,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Gram, Maize",0%,1.63%,98.37%,4.63%,34.01%,61.35%,5%,81%,14%,6.62%,90.94%,2.44%,
"Sukma, Chhattisgarh",Ok,"Sukma, Chhattisgarh 494111, India",18.3909118,81.6588003,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Minor millets",0.04%,3.54%,96.42%,3.19%,91.13%,5.68%,6.19%,92.57%,1.25%,3.00%,96.92%,0.08%,
"Surajpur, Chhattisgarh",Ok,"Surajpur, Chhattisgarh 497229, India",23.2136011,82.8679549,"locality, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Mustard",0%,0.10%,99.90%,0.01%,60.06%,39.93%,17.89%,81.45%,0.66%,25.36%,74.64%,0%,
"Surguja, Chhattisgarh",Ok,"Surguja, Chhattisgarh, India",22.9494079,83.1649001,"administrative_area_level_3, political",APPROXIMATE,India,Chhattisgarh,"Paddy, Maize, Turmeric",0.13%,0.06%,99.81%,0.14%,99.77%,0.09%,13.62%,85.06%,1.31%,77.90%,21.97%,0.13%,
"North Goa, Goa",Ok,"North Goa, Goa, India",15.5163112,73.9830029,"administrative_area_level_3, political",APPROXIMATE,India,Goa,"Rice, Cashew, Coconut",45.77%,20.01%,34.22%,34.07%,26.65%,39.28%,21.64%,40.84%,37.53%,68.80%,31.20%,0%,
"South Goa, Goa",Ok,"South Goa, Goa, India",15.11766,74.123996,"administrative_area_level_3, political",APPROXIMATE,India,Goa,"Rice, Coconut, Arecanut",3.20%,85.55%,11.25%,13.26%,14.59%,72.15%,35.98%,35.87%,28.16%,64.08%,35.89%,0.04%,
"Ahmedabad, Gujarat",Ok,"Ahmedabad, Gujarat, India",23.022505,72.5713621,"locality, political",APPROXIMATE,India,Gujarat,"Cotton, Bajra, Wheat",0%,7.29%,92.71%,75.53%,13.94%,10.53%,87.55%,11.51%,0.95%,0.08%,98.69%,1.23%,
"Amreli, Gujarat",Ok,"Amreli, Gujarat 365601, India",21.6015242,71.2203555,"locality, political",APPROXIMATE,India,Gujarat,"Groundnut, Cotton, Bajra",0%,7.37%,92.63%,82.16%,17.80%,0.04%,67.53%,19.50%,12.97%,0.02%,98.19%,1.79%,
"Anand, Gujarat",Ok,"Anand, Gujarat, India",22.5645175,72.928871,"locality, political",APPROXIMATE,India,Gujarat,"Tobacco, Paddy, Wheat",0%,14.27%,85.73%,99.23%,0.77%,0%,79.56%,20.25%,0.19%,0%,95.92%,4.08%,
"Aravalli, Gujarat",Ok,"Aravalli, Gujarat, India",23.5204911,73.3708696,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Maize, Wheat, Castor",0%,3.29%,96.71%,77.72%,21.90%,0.38%,50.60%,47.65%,1.75%,0%,98.62%,1.38%,
"Banaskantha, Gujarat","2 found, use single geocode.","Banaskantha, Gujarat 385505, India",24.3070289,72.3514618,"locality, political",APPROXIMATE,India,Gujarat,"Potato, Bajra, Cumin",0.00%,1.46%,98.53%,90.66%,7.23%,2.11%,69.30%,25.75%,4.95%,0.04%,96.97%,2.98%,
"Bharuch, Gujarat",Ok,"Bharuch, Gujarat, India",21.7051358,72.9958748,"locality, political",APPROXIMATE,India,Gujarat,"Sugarcane, Banana, Cotton",0%,12.97%,87.03%,18.73%,45.40%,35.87%,39.94%,46.08%,13.98%,0%,99.38%,0.62%,
"Bhavnagar, Gujarat",Ok,"Bhavnagar, Gujarat, India",21.7644725,72.1519304,"locality, political",APPROXIMATE,India,Gujarat,"Cotton, Groundnut, Bajra",0.01%,2.02%,97.97%,31.49%,45.57%,22.94%,97.36%,2.57%,0.06%,0.01%,99.97%,0.02%,
"Botad, Gujarat",Ok,"Botad, Gujarat 364710, India",22.1722509,71.663622,"locality, political",APPROXIMATE,India,Gujarat,"Groundnut, Cotton, Bajra",0%,11.76%,88.24%,15.24%,61.46%,23.30%,96.35%,3.53%,0.12%,0%,100%,0%,
"Chhota Udaipur, Gujarat","2 found, use single geocode.","Chhota Udepur, Gujarat 391165, India",22.3084941,74.0119993,"locality, political",APPROXIMATE,India,Gujarat,"Maize, Paddy, Turmeric",0.02%,38.69%,61.30%,19.90%,36.53%,43.57%,52.84%,33.17%,13.99%,0.01%,98.71%,1.28%,
"Dahod, Gujarat",Ok,"Dahod, Gujarat, India",22.8344992,74.2606185,"locality, political",APPROXIMATE,India,Gujarat,"Maize, Pulses, Paddy",0%,22.15%,77.85%,69.65%,24.94%,5.42%,43.25%,54.38%,2.37%,0.07%,99.91%,0.02%,
"Dang, Gujarat",Ok,"Dang, Gujarat, India",20.8253781,73.7007088,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Rice, Turmeric, Ginger",0.03%,63.25%,36.72%,31.64%,21.23%,47.14%,17.45%,57.29%,25.26%,0%,99.98%,0.02%,
"Devbhoomi Dwarka, Gujarat",Ok,"Devbhumi Dwarka, Gujarat, India",22.1232327,69.3831079,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Groundnut, Cumin, Cotton",0%,66.72%,33.28%,90.87%,9.12%,0.01%,14.76%,83.53%,1.72%,0.16%,97.17%,2.67%,
"Gandhinagar, Gujarat",Ok,"Gandhinagar, Gujarat, India",23.2156354,72.6369415,"locality, political",APPROXIMATE,India,Gujarat,"Wheat, Bajra, Castor",0%,1.24%,98.76%,98.61%,1.31%,0.08%,88.49%,11.15%,0.37%,0.05%,99.02%,0.94%,
"Gir Somnath, Gujarat",Ok,"Gir Somnath, Gujarat, India",20.8803104,70.7644236,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Groundnut, Mango, Cotton",0.34%,53.33%,46.33%,5.33%,89.43%,5.24%,0.55%,78.33%,21.11%,0.02%,98.81%,1.16%,
"Jamnagar, Gujarat",Ok,"Jamnagar, Gujarat, India",22.4707019,70.05773,"locality, political",APPROXIMATE,India,Gujarat,"Groundnut, Cotton, Bajra",0.28%,45.23%,54.49%,74.17%,25.05%,0.78%,36.32%,57.56%,6.12%,0.34%,96.28%,3.39%,
"Junagadh, Gujarat",Ok,"Junagadh, Gujarat, India",21.5222203,70.4579436,"locality, political",APPROXIMATE,India,Gujarat,"Groundnut, Cotton, Bajra",0%,7.85%,92.15%,78.54%,17.43%,4.03%,71.00%,20.36%,8.64%,0.03%,99.93%,0.04%,
"Kheda, Gujarat",Ok,"Kheda, Gujarat, India",22.750651,72.6846658,"locality, political",APPROXIMATE,India,Gujarat,"Tobacco, Paddy, Maize",0%,1.75%,98.25%,81.98%,18.02%,0%,60.96%,39.03%,0.01%,0%,95.18%,4.82%,
"Kutch, Gujarat",Ok,"Kachchh, Gujarat, India",23.7337326,69.8597406,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Bajra, Castor, Sesame",2.07%,18.50%,79.42%,58.42%,31.18%,10.41%,73.34%,24.74%,1.93%,0.12%,89.94%,9.95%,
"Mahisagar, Gujarat",Ok,"Mahisagar, Gujarat, India",23.1711262,73.5594128,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Paddy, Maize, Cotton",0.02%,8.31%,91.67%,37.97%,61.43%,0.60%,79.84%,20.04%,0.11%,0.01%,99.99%,0%,
"Mehsana, Gujarat",Ok,"Mehsana, Gujarat, India",23.5879607,72.3693252,"locality, political",APPROXIMATE,India,Gujarat,"Mustard, Wheat, Cumin",0.03%,2.06%,97.92%,43.75%,41.49%,14.77%,21.06%,62.10%,16.85%,0.31%,92.17%,7.52%,
"Morbi, Gujarat",Ok,"Morbi, Gujarat, India",22.8251874,70.8490809,"locality, political",APPROXIMATE,India,Gujarat,"Cotton, Groundnut, Bajra",0%,50.51%,49.49%,93.19%,6.81%,0%,45.90%,54.10%,0%,0%,96.42%,3.58%,
"Narmada, Gujarat",Ok,"Narmada, Gujarat, India",21.8757175,73.5594128,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Paddy, Banana, Turmeric",0.01%,37.60%,62.39%,61.40%,9.28%,29.31%,53.72%,27.27%,19.00%,0.49%,99.45%,0.06%,
"Navsari, Gujarat",Ok,"Navsari, Gujarat, India",20.9467019,72.9520348,"locality, political",APPROXIMATE,India,Gujarat,"Sugarcane, Banana, Paddy",0%,35.19%,64.81%,99.94%,0.05%,0.01%,87.62%,12.34%,0.04%,0%,100%,0%,
"Panchmahal, Gujarat",Ok,"Panchmahal, Gujarat, India",22.8011177,73.5594128,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Maize, Paddy, Pulses",0%,44.25%,55.75%,47.40%,47.75%,4.85%,41.09%,51.96%,6.95%,0.01%,99.90%,0.10%,
"Patan, Gujarat",Ok,"Patan, Gujarat, India",23.8500156,72.1210274,"locality, political",APPROXIMATE,India,Gujarat,"Cumin, Wheat, Bajra",0%,0.23%,99.77%,59.99%,38.14%,1.87%,91.47%,8.53%,0%,0%,99.97%,0.03%,
"Porbandar, Gujarat",Ok,"Porbandar, Gujarat, India",21.6416979,69.6293059,"locality, political",APPROXIMATE,India,Gujarat,"Groundnut, Bajra, Cotton",0.03%,12.94%,87.03%,40.73%,34.74%,24.53%,94.52%,3.61%,1.87%,0%,99.97%,0.03%,
"Rajkot, Gujarat",Ok,"Rajkot, Gujarat, India",22.3038945,70.8021599,"locality, political",APPROXIMATE,India,Gujarat,"Groundnut, Cotton, Bajra",0.05%,14.87%,85.07%,97.18%,2.76%,0.06%,79.87%,19.61%,0.51%,7.37%,91.79%,0.84%,
"Sabarkantha, Gujarat",Ok,"Sabarkantha, Gujarat, India",23.8476704,72.9932969,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Maize, Wheat, Bajra",0%,0.31%,99.69%,88.93%,11.02%,0.05%,48.47%,50.46%,1.07%,0.01%,98.43%,1.56%,
"Surat, Gujarat",Ok,"Surat, Gujarat, India",21.1702401,72.8310607,"locality, political",APPROXIMATE,India,Gujarat,"Sugarcane, Paddy, Cotton",0%,7.70%,92.30%,81.86%,15.36%,2.78%,48.52%,51.31%,0.17%,0.04%,99.17%,0.79%,
"Surendranagar, Gujarat",Ok,"Surendranagar, Gujarat, India",22.7251204,71.6369542,"locality, political",APPROXIMATE,India,Gujarat,"Cotton, Groundnut, Bajra",1.12%,33.79%,65.09%,76.37%,23.35%,0.27%,69.12%,30.65%,0.23%,0%,99.58%,0.42%,
"Tapi, Gujarat",Ok,"Tapi, Gujarat, India",21.2788724,73.6065223,"administrative_area_level_3, political",APPROXIMATE,India,Gujarat,"Paddy, Sugarcane, Turmeric",0%,16.73%,83.27%,86.78%,13.21%,0.01%,67.99%,31.75%,0.26%,0%,99.81%,0.19%,
"Vadodara, Gujarat",Ok,"Vadodara, Gujarat, India",22.3071588,73.1812187,"locality, political",APPROXIMATE,India,Gujarat,"Paddy, Banana, Maize",0%,18.61%,81.39%,47.49%,50.48%,2.02%,50.91%,31.81%,17.27%,0%,99.48%,0.52%,
"Valsad, Gujarat",Ok,"Valsad, Gujarat, India",20.5992349,72.9342451,"locality, political",APPROXIMATE,India,Gujarat,"Rice, Cashew, Banana",0.05%,40.13%,59.82%,87.42%,12.56%,0.02%,46.66%,50.81%,2.53%,0.66%,99.08%,0.26%,
"Ambala, Haryana",Ok,"Ambala, Haryana, India",30.3752011,76.782122,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Mustard",0%,0%,0%,57.21%,38.86%,3.94%,13.29%,46.99%,39.72%,0.01%,95.99%,4.00%,
"Bhiwani, Haryana",Ok,"Bhiwani, Haryana, India",28.7974684,76.1322058,"locality, political",APPROXIMATE,India,Haryana,"Bajra (Pearl Millet), Wheat, Cotton, Mustard",0%,0%,0%,33.61%,47.15%,19.24%,9.29%,73.22%,17.49%,0.22%,93.56%,6.23%,
"Charkhi Dadri, Haryana",Ok,"Charkhi Dadri, Haryana 127306, India",28.5920617,76.2652909,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Bajra, Mustard, Cotton​",0%,0%,0%,13.01%,85.94%,1.05%,2.18%,87.89%,9.93%,0.03%,99.97%,0%,
"Fatehabad, Haryana",Ok,"Fatehabad, Haryana 125050, India",29.5131814,75.4509532,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Cotton, Rice, Mustard​",0%,0%,0%,83.01%,16.99%,0%,57.97%,40.85%,1.18%,0%,99.16%,0.84%,
"Hisar, Haryana",Ok,"Hisar, Haryana, India",29.1491875,75.7216527,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Cotton, Bajra, Mustard",0%,0%,0%,74.07%,21.82%,4.12%,16.89%,38.88%,44.23%,0.05%,99.81%,0.14%,
"Jhajjar, Haryana",Ok,"Jhajjar, Haryana, India",28.6054875,76.6537749,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Bajra, Mustard",0%,0%,0%,53.66%,34.71%,11.63%,19.09%,55.35%,25.56%,0.00%,95.07%,4.92%,
"Jind, Haryana",Ok,"Jind, Haryana, India",29.325508,76.2997909,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Mustard​",0%,0%,0%,0%,99.94%,0.06%,98.32%,1.65%,0.04%,0%,99.94%,0.06%,
"Kaithal, Haryana",Ok,"Kaithal, Haryana 136027, India",29.8042758,76.4039016,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Mustard",0%,0%,0%,73.50%,25.34%,1.17%,37.44%,25.89%,36.67%,0%,91.22%,8.78%,
"Karnal, Haryana",Ok,"Karnal, Haryana, India",29.6856929,76.9904825,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Maize",0%,0%,0%,91.61%,0.16%,8.23%,87.29%,12.34%,0.37%,0%,95.55%,4.45%,
"Kurukshetra, Haryana",Ok,"Kurukshetra, Haryana, India",29.9695121,76.878282,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Maize",0%,0%,0%,76.86%,20.15%,2.99%,44.64%,49.28%,6.08%,0.04%,92.22%,7.74%,
"Mahendragarh, Haryana",Ok,"Mahendragarh, Haryana, India",28.2734201,76.1401349,"locality, political",APPROXIMATE,India,Haryana,"Bajra, Wheat, Mustard, Gram",0%,0%,0%,35.04%,53.38%,11.58%,0.30%,36.96%,62.74%,0.09%,99.47%,0.44%,
"Nuh, Haryana",Ok,"Nuh, Haryana 122107, India",28.1023894,76.9931074,"locality, political",APPROXIMATE,India,Haryana,"Bajra, Wheat, Mustard, Barley",0%,0%,0%,75.76%,19.19%,5.05%,20.79%,57.42%,21.79%,0.00%,94.12%,5.88%,
"Palwal, Haryana",Ok,"Palwal, Haryana 121102, India",28.1472852,77.3259878,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Mustard",0%,0%,0%,70.11%,28.84%,1.04%,58.09%,31.06%,10.85%,0%,100%,0%,
"Panchkula, Haryana",Ok,"Panchkula, Haryana, India",30.6942091,76.860565,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Maize, Sugarcane",0%,0%,0%,58.47%,37.62%,3.91%,36.79%,56.95%,6.26%,0.01%,99.01%,0.97%,
"Panipat, Haryana",Ok,"Panipat, Haryana, India",29.3909464,76.9635023,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Mustard​",0%,0%,0%,81.51%,18.41%,0.08%,0.01%,80.82%,19.16%,0.03%,99.78%,0.19%,
"Rewari, Haryana",Ok,"Rewari, Haryana 123401, India",28.1919738,76.6190774,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Bajra, Mustard, Gram",0%,0%,0%,39.83%,48.87%,11.30%,1.60%,23.15%,75.25%,0.00%,98.34%,1.66%,
"Rohtak, Haryana",Ok,"Rohtak, Haryana, India",28.8955152,76.606611,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Mustard",0%,0%,0%,92.59%,7.18%,0.24%,2.89%,57.84%,39.28%,0.03%,99.96%,0.01%,
"Sirsa, Haryana",Ok,"Sirsa, Haryana 125055, India",29.5320731,75.0317734,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Cotton, Rice, Mustard​",0%,0%,0%,29.54%,41.12%,29.34%,53.34%,35.93%,10.73%,0.03%,96.93%,3.04%,
"Sonipat, Haryana",Ok,"Sonipat, Haryana, India",28.9930823,77.0150735,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Mustard",0%,0%,0%,29.15%,18.81%,52.05%,20.32%,77.88%,1.80%,0%,99.58%,0.42%,
"Yamunanagar, Haryana",Ok,"Yamuna Nagar, Haryana, India",30.1290485,77.2673901,"locality, political",APPROXIMATE,India,Haryana,"Wheat, Rice, Sugarcane, Maize",0%,0%,0%,74.37%,12.18%,13.45%,8.13%,22.50%,69.37%,0.11%,99.13%,0.75%,
"Bilaspur, Himachal Pradesh",Ok,"Bilaspur, Himachal Pradesh, India",31.3406931,76.6874701,"administrative_area_level_3, political",APPROXIMATE,India,Himachal Pradesh,"Maize, Wheat, Barley, Pulses",0.02%,90.90%,9.08%,0.27%,84.88%,14.85%,0.14%,94.13%,5.72%,0.20%,99.71%,0.09%,
"Chamba, Himachal Pradesh",Ok,"Chamba, Himachal Pradesh, India",32.5533633,76.1258083,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Maize, Rice, Wheat, Barley, Pulses",0%,87.17%,12.83%,0.04%,80.90%,19.06%,0%,67.84%,32.16%,0.23%,99.71%,0.06%,
"Hamirpur, Himachal Pradesh",Ok,"Hamirpur, Himachal Pradesh, India",31.6861745,76.5213092,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Wheat, Maize, Barley, Pulses",8.15%,82.67%,9.18%,16.92%,79.64%,3.44%,12.53%,84.48%,2.98%,0.09%,99.75%,0.16%,
"Kangra, Himachal Pradesh",Ok,"Kangra, Himachal Pradesh 176001, India",32.1014764,76.2731465,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Rice, Wheat, Maize, Tea",0.10%,53.65%,46.26%,28.00%,69.27%,2.73%,67.38%,29.42%,3.21%,1.54%,98.43%,0.02%,
"Kinnaur, Himachal Pradesh",Ok,"Kinnaur, Himachal Pradesh, India",31.6509576,78.4751945,"administrative_area_level_3, political",APPROXIMATE,India,Himachal Pradesh,"Apples, Peas, Potatoes, Barley",0%,1.23%,98.77%,74.17%,23.95%,1.88%,97.60%,2.34%,0.06%,0.07%,99.74%,0.20%,
"Kullu, Himachal Pradesh",Ok,"Kullu, Himachal Pradesh 175101, India",31.959205,77.1089377,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Apples, Plums, Pears, Maize",0%,0.55%,99.45%,77.09%,20.41%,2.50%,48.93%,38.29%,12.78%,2.66%,97.29%,0.05%,
"Lahaul and Spiti, Himachal Pradesh",Ok,"Lahaul and Spiti, Himachal Pradesh, India",32.6192107,77.3783789,"administrative_area_level_3, political",APPROXIMATE,India,Himachal Pradesh,"Potatoes, Peas, Barley, Buckwheat​",0%,0.20%,99.80%,82.88%,16.58%,0.54%,59.00%,37.89%,3.11%,0.27%,99.73%,0%,
"Mandi, Himachal Pradesh",Ok,"Mandi, Himachal Pradesh, India",31.7087153,76.9320104,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Rice, Wheat, Maize, Pulses",0.19%,3.85%,95.97%,23.75%,45.31%,30.94%,44.78%,42.72%,12.49%,1.48%,98.41%,0.11%,
"Shimla, Himachal Pradesh",Ok,"Shimla, Himachal Pradesh, India",31.104963,77.1639874,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Apples, Wheat, Barley, Maize",0.09%,0.05%,99.86%,42.80%,42.34%,14.86%,69.79%,26.45%,3.77%,0.90%,99.04%,0.07%,
"Sirmaur, Himachal Pradesh",Ok,"Sirmaur, Himachal Pradesh, India",30.5628455,77.4701972,"administrative_area_level_3, political",APPROXIMATE,India,Himachal Pradesh,"Maize, Wheat, Ginger, Garlic​",2.69%,68.45%,28.86%,21.97%,73.87%,4.17%,64.47%,28.97%,6.56%,0.12%,99.85%,0.03%,
"Solan, Himachal Pradesh",Ok,"Solan, Himachal Pradesh, India",30.9084245,77.0999031,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Tomatoes, Capsicum, Ginger, Beans",0%,0%,100%,46.30%,34.57%,19.13%,25.96%,59.08%,14.95%,1.40%,98.42%,0.18%,
"Una, Himachal Pradesh",Ok,"Una, Himachal Pradesh 174303, India",31.4684649,76.2708152,"locality, political",APPROXIMATE,India,Himachal Pradesh,"Wheat, Maize, Sugarcane, Pulses",3.10%,72.60%,24.30%,0.06%,84.04%,15.90%,0.02%,69.10%,30.88%,0.12%,99.88%,0%,
"Bokaro, Jharkhand",Ok,"Bokaro Steel City, Jharkhand, India",23.6692956,86.151112,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Wheat, Maize, Pulses",1.31%,34.23%,64.45%,48.84%,50.59%,0.57%,6.42%,92.31%,1.27%,74.05%,25.91%,0.04%,
"Chatra, Jharkhand",Ok,"Chatra, Jharkhand 825401, India",24.206475,84.8718433,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.07%,57.79%,42.14%,29.63%,67.41%,2.96%,29.46%,64.56%,5.98%,35.68%,64.31%,0.01%,
"Deoghar, Jharkhand",Ok,"Deoghar, Jharkhand, India",24.485179,86.694785,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Wheat, Maize, Pulses",0.27%,84.83%,14.90%,13.82%,82.15%,4.03%,9.99%,88.24%,1.77%,19.98%,79.77%,0.25%,
"Dhanbad, Jharkhand",Ok,"Dhanbad, Jharkhand, India",23.7956531,86.4303859,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.77%,59.38%,39.85%,23.72%,73.59%,2.68%,10.90%,86.61%,2.49%,42.96%,57.04%,0%,
"Dumka, Jharkhand",Ok,"Dumka, Jharkhand, India",24.2684794,87.2488088,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.24%,38.15%,61.62%,13.44%,46.40%,40.15%,1.89%,46.95%,51.16%,48.15%,51.85%,0%,
"East Singhbhum, Jharkhand",Ok,"East Singhbhum, Jharkhand, India",22.4866756,86.4996546,"administrative_area_level_3, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.05%,41.57%,58.39%,37.77%,62.00%,0.23%,3.17%,89.87%,6.96%,55.14%,44.74%,0.12%,
"Garhwa, Jharkhand",Ok,"Garhwa, Jharkhand 822114, India",24.1548982,83.7995617,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.06%,21.92%,78.02%,16.93%,79.40%,3.67%,1.07%,78.44%,20.49%,4.44%,95.50%,0.06%,
"Giridih, Jharkhand",Ok,"Giridih, Jharkhand, India",24.19135,86.2996368,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.09%,48.64%,51.27%,26.36%,64.42%,9.22%,6.13%,76.39%,17.48%,29.09%,70.25%,0.66%,
"Godda, Jharkhand",Ok,"Godda, Jharkhand 814133, India",24.8255215,87.2135177,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds​",0.16%,20.68%,79.16%,73.45%,24.09%,2.46%,5.95%,56.85%,37.20%,50.08%,49.66%,0.26%,
"Gumla, Jharkhand",Ok,"Gumla, Jharkhand 835207, India",23.0441295,84.5379455,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.20%,65.78%,34.02%,10.47%,75.99%,13.54%,6.06%,87.30%,6.64%,46.55%,53.33%,0.12%,
"Hazaribagh, Jharkhand",Ok,"Hazaribagh, Jharkhand, India",23.9924669,85.3636758,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.36%,33.98%,65.66%,7.08%,92.82%,0.10%,5.82%,92.34%,1.84%,63.00%,37.00%,0%,
"Jamtara, Jharkhand",Ok,"Jamtara, Jharkhand, India",23.9612357,86.8048018,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.19%,54.82%,44.99%,21.67%,54.92%,23.41%,6.50%,63.23%,30.26%,73.44%,26.43%,0.13%,
"Khunti, Jharkhand",Ok,"Khunti, Jharkhand, India",23.0797595,85.2774207,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.09%,87.69%,12.22%,5.23%,83.08%,11.69%,1.20%,94.60%,4.20%,42.20%,57.66%,0.15%,
"Koderma, Jharkhand",Ok,"Koderma, Jharkhand 825410, India",24.4676805,85.5933645,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.82%,84.63%,14.55%,11.91%,69.23%,18.86%,3.11%,89.31%,7.57%,5.88%,93.93%,0.19%,
"Latehar, Jharkhand",Ok,"Latehar, Jharkhand, India",23.7463215,84.5091102,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",1.88%,84.20%,13.93%,11.07%,63.38%,25.55%,12.28%,79.23%,8.48%,35.93%,64.06%,0.02%,
"Lohardaga, Jharkhand",Ok,"Lohardaga, Jharkhand 835302, India",23.4415776,84.6869722,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0%,67.74%,32.26%,20.00%,69.36%,10.64%,0.18%,69.48%,30.34%,42.31%,57.63%,0.05%,
"Pakur, Jharkhand",Ok,"Pakur, Jharkhand 816107, India",24.6336908,87.8500644,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.10%,81.81%,18.09%,11.93%,79.33%,8.74%,4.02%,79.60%,16.38%,23.01%,76.65%,0.34%,
"Palamu, Jharkhand","2 found, use single geocode.","Palamu, Jharkhand, India",23.8324728,85.9585544,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds​",5.42%,45.54%,49.04%,35.90%,60.37%,3.73%,14.63%,79.61%,5.76%,2.86%,94.62%,2.52%,
"Ramgarh, Jharkhand",Ok,"Ramgarh Cantonment, Jharkhand, India",23.6362593,85.5124209,"locality, political",APPROXIMATE,India,Jharkhand,"Rice, Maize, Pulses, Oilseeds",0.26%,19.00%,80.74%,17.28%,79.66%,3.06%,23.42%,66.10%,10.47%,34.95%,65.05%,0%,
